Home,xG_Home,Score,xG_Away,Away,,,,,,,,,
PSV Eindhoven nl,2.1,1–3,3,be Union SG,,,,,,,,,
Athletic Club es,0.3,0–2,1.3,eng Arsenal,,,,,,,,,
Tottenham eng,0.5,1–0,0.5,es Villarreal,,,,,,,,,
Benfica pt,1.4,2–3,1.5,az Qarabağ,,,,,,,,,
Juventus it,1.9,4–4,1.5,de Dortmund,,,,,,,,,
Real Madrid es,3.6,2–1,0.8,fr Marseille,,,,,,,,,
Slavia Prague cz,3.9,2–2,2.8,no Bodø/Glimt,,,,,,,,,
Olympiacos gr,1.5,0–0,0.3,cy Pafos FC,,,,,,,,,
Liverpool eng,2.7,3–2,0.6,es Atlético Madrid,,,,,,,,,
Ajax nl,1.3,0–2,1.2,it Inter,,,,,,,,,
Bayern Munich de,2.2,3–1,0.7,eng Chelsea,,,,,,,,,
Paris S-G fr,3.4,4–0,0.6,it Atalanta,,,,,,,,,
Club Brugge be,3,4–1,1.5,fr Monaco,,,,,,,,,
FC Copenhagen dk,1.9,2–2,1.2,de Leverkusen,,,,,,,,,
Manchester City eng,2.1,2–0,0.2,it Napoli,,,,,,,,,
Sporting CP pt,3.7,4–1,0.7,kz Qaırat Almaty,,,,,,,,,
Newcastle Utd eng,1.2,1–2,1.1,es Barcelona,,,,,,,,,
Eint Frankfurt de,1.2,5–1,1.1,tr Galatasaray,,,,,,,,,
,,,,,,,,,,,,,
Atalanta it,2.5,2–1,0.9,be Club Brugge,,,,,,,,,
Chelsea eng,0.7,1–0,0.9,pt Benfica,,,,,,,,,
Atlético Madrid es,4.3,5–1,0.5,de Eint Frankfurt,,,,,,,,,
Inter it,4,3–0,0.1,cz Slavia Prague,,,,,,,,,
Bodø/Glimt no,2.5,2–2,1.4,eng Tottenham,,,,,,,,,
Marseille fr,1.1,4–0,0.8,nl Ajax,,,,,,,,,
Qaırat Almaty kz,0.4,0–5,3.5,es Real Madrid,,,,,,,,,
Galatasaray tr,1.7,1–0,1.7,eng Liverpool,,,,,,,,,
Pafos FC cy,0.4,1–5,4.5,de Bayern Munich,,,,,,,,,
Union SG be,0.9,0–4,2.7,eng Newcastle Utd,,,,,,,,,
Arsenal eng,2.9,2–0,0.5,gr Olympiacos,,,,,,,,,
Qarabağ az,1.8,2–0,1,dk FC Copenhagen,,,,,,,,,
Barcelona es,1.3,1–2,1.7,fr Paris S-G,,,,,,,,,
Leverkusen de,1.7,1–1,0.5,nl PSV Eindhoven,,,,,,,,,
Napoli it,0.9,2–1,1.3,pt Sporting CP,,,,,,,,,
Dortmund de,1.1,4–1,0.9,es Athletic Club,,,,,,,,,
Monaco fr,1.4,2–2,1.5,eng Manchester City,,,,,,,,,
Villarreal es,1.7,2–2,1.4,it Juventus,,,,,,,,,
,,,,,,,,,,,,,
Barcelona es,2.6,6–1,1,gr Olympiacos,,,,,,,,,
Newcastle Utd eng,2.6,3–0,0.3,pt Benfica,,,,,,,,,
Arsenal eng,2.1,4–0,0.6,es Atlético Madrid,,,,,,,,,
Leverkusen de,2.3,2–7,2.8,fr Paris S-G,,,,,,,,,
PSV Eindhoven nl,2.9,6–2,1.2,it Napoli,,,,,,,,,
Villarreal es,1.2,0–2,1.3,eng Manchester City,,,,,,,,,
Union SG be,0.9,0–4,4.6,it Inter,,,,,,,,,
FC Copenhagen dk,0.8,2–4,1.6,de Dortmund,,,,,,,,,
Qaırat Almaty kz,1.3,0–0,1.7,cy Pafos FC,,,,,,,,,
Athletic Club es,3.4,3–1,0.6,az Qarabağ,,,,,,,,,
Galatasaray tr,3.8,3–1,1.2,no Bodø/Glimt,,,,,,,,,
Sporting CP pt,1.1,2–1,0.5,fr Marseille,,,,,,,,,
Chelsea eng,3.6,5–1,1.1,nl Ajax,,,,,,,,,
Bayern Munich de,4.1,4–0,0.3,be Club Brugge,,,,,,,,,
Atalanta it,2.5,0–0,0.8,cz Slavia Prague,,,,,,,,,
Real Madrid es,2.7,1–0,0.9,it Juventus,,,,,,,,,
Monaco fr,2.4,0–0,0.9,eng Tottenham,,,,,,,,,
Eint Frankfurt de,0.3,1–5,3.2,eng Liverpool,,,,,,,,,
,,,,,,,,,,,,,
Slavia Prague cz,0.5,0–3,1.7,eng Arsenal,,,,,,,,,
Napoli it,1.8,0–0,0.4,de Eint Frankfurt,,,,,,,,,
Tottenham eng,3.3,4–0,0.4,dk FC Copenhagen,,,,,,,,,
Liverpool eng,2.3,1–0,0.5,es Real Madrid,,,,,,,,,
Juventus it,1.5,1–1,0.1,pt Sporting CP,,,,,,,,,
Atlético Madrid es,2.3,3–1,1.1,be Union SG,,,,,,,,,
Bodø/Glimt no,1.6,0–1,1.3,fr Monaco,,,,,,,,,
Paris S-G fr,1.9,1–2,1.5,de Bayern Munich,,,,,,,,,
Olympiacos gr,0.9,1–1,0.4,nl PSV Eindhoven,,,,,,,,,
Pafos FC cy,0.7,1–0,1.8,es Villarreal,,,,,,,,,
Manchester City eng,1.9,4–1,1,de Dortmund,,,,,,,,,
Benfica pt,1.6,0–1,0.7,de Leverkusen,,,,,,,,,
Newcastle Utd eng,1.2,2–0,0.6,es Athletic Club,,,,,,,,,
Marseille fr,0.9,0–1,1.3,it Atalanta,,,,,,,,,
Inter it,2.2,2–1,0.2,kz Qaırat Almaty,,,,,,,,,
Club Brugge be,2.2,3–3,2.4,es Barcelona,,,,,,,,,
Ajax nl,0.9,0–3,2.5,tr Galatasaray,,,,,,,,,
Qarabağ az,1.8,2–2,1.3,eng Chelsea,,,,,,,,,
,,,,,,,,,,,,,
Ajax nl,1,0–2,1.2,pt Benfica,,,,,,,,,
Manchester City eng,1.8,0–2,0.5,de Leverkusen,,,,,,,,,
Chelsea eng,1.8,3–0,0.7,es Barcelona,,,,,,,,,
Galatasaray tr,1.2,0–1,1.6,be Union SG,,,,,,,,,
Dortmund de,3.2,4–0,0.8,es Villarreal,,,,,,,,,
Slavia Prague cz,0.6,0–0,1.3,es Athletic Club,,,,,,,,,
Bodø/Glimt no,1.8,2–3,3.4,it Juventus,,,,,,,,,
Marseille fr,2.1,2–1,1.4,eng Newcastle Utd,,,,,,,,,
Napoli it,3.3,2–0,0.5,az Qarabağ,,,,,,,,,
FC Copenhagen dk,3.2,3–2,1.9,kz Qaırat Almaty,,,,,,,,,
Pafos FC cy,1.1,2–2,1.5,fr Monaco,,,,,,,,,
Liverpool eng,2.3,1–4,2.2,nl PSV Eindhoven,,,,,,,,,
Sporting CP pt,1.8,3–0,0.4,be Club Brugge,,,,,,,,,
Arsenal eng,3.1,3–1,0.7,de Bayern Munich,,,,,,,,,
Paris S-G fr,1.8,5–3,1.8,eng Tottenham,,,,,,,,,
Eint Frankfurt de,0.9,0–3,2.8,it Atalanta,,,,,,,,,
Atlético Madrid es,1.1,2–1,1.4,it Inter,,,,,,,,,
Olympiacos gr,1.7,3–4,1.7,es Real Madrid,,,,,,,,,
,,,,,,,,,,,,,
Bayern Munich de,2.1,3–1,0.3,pt Sporting CP,,,,,,,,,
Tottenham eng,2.7,3–0,0.8,cz Slavia Prague,,,,,,,,,
Qaırat Almaty kz,0.2,0–1,2.3,gr Olympiacos,,,,,,,,,
Inter it,0.4,0–1,1.4,eng Liverpool,,,,,,,,,
Atalanta it,1.7,2–1,1.4,eng Chelsea,,,,,,,,,
Barcelona es,1.5,2–1,0.8,de Eint Frankfurt,,,,,,,,,
PSV Eindhoven nl,2.7,2–3,2.2,es Atlético Madrid,,,,,,,,,
Monaco fr,3.4,1–0,1.3,tr Galatasaray,,,,,,,,,
Union SG be,0.7,2–3,1.5,fr Marseille,,,,,,,,,
Villarreal es,2.1,2–3,1.3,dk FC Copenhagen,,,,,,,,,
Benfica pt,2.1,2–0,0.6,it Napoli,,,,,,,,,
Real Madrid es,1.5,1–2,2.6,eng Manchester City,,,,,,,,,
Leverkusen de,1.2,2–2,1.8,eng Newcastle Utd,,,,,,,,,
Dortmund de,3.2,2–2,1.2,no Bodø/Glimt,,,,,,,,,
Juventus it,2.6,2–0,1.1,cy Pafos FC,,,,,,,,,
Athletic Club es,0.5,0–0,2.2,fr Paris S-G,,,,,,,,,
Club Brugge be,1.1,0–3,2.8,eng Arsenal,,,,,,,,,
Qarabağ az,1.1,2–4,1.6,nl Ajax,,,,,,,,,
